B06012_001E,B06012_002E,state,county
5424.0,1140.0,26,095
851588.0,102536.0,26,099
67788.0,9649.0,26,155
6298.0,947.0,26,013
25776.0,3208.0,26,029
106752.0,11895.0,26,045
14102.0,2908.0,26,053
32474.0,3426.0,26,047
22630.0,2116.0,27,093
13884.0,1211.0,27,113
57036.0,6678.0,27,131
6288.0,577.0,27,167
4010.0,418.0,27,125
57332.0,6827.0,27,027
13718.0,1728.0,27,043
20488.0,2476.0,27,045
10496.0,1255.0,27,075
30389.0,3950.0,27,119
15365.0,1286.0,27,135
14757.0,1442.0,27,143
10855.0,1272.0,27,165
32847.0,4209.0,27,005
4958.0,562.0,27,011
24128.0,1925.0,27,015
28161.0,4468.0,27,021
45549.0,4980.0,27,049
20464.0,2363.0,27,057
9996.0,895.0,27,063
19881.0,2308.0,27,091
21312.0,3004.0,27,105
27297.0,3737.0,27,115
67017.0,7067.0,47,147
39426.0,6397.0,47,051
123743.0,16793.0,47,009
39102.0,5061.0,47,021
54897.0,13110.0,47,019
22619.0,4578.0,47,057
28206.0,4721.0,47,055
24331.0,6014.0,47,097
41767.0,8136.0,47,099
94517.0,18345.0,47,113
27941.0,5374.0,47,115
21754.0,4340.0,47,133
5002.0,827.0,47,137
14770.0,2796.0,47,181
204792.0,10547.0,47,187
45668.0,7423.0,47,003
66409.0,12373.0,47,059
56887.0,9075.0,47,035
5528.0,1058.0,47,175
30409.0,6771.0,47,025
22610.0,5181.0,47,081
17899.0,3308.0,47,085
71571.0,17180.0,47,141
93335.0,14285.0,47,155
13117.0,2520.0,47,161
16231.0,2911.0,47,023
11476.0,2399.0,47,039
11336.0,2835.0,47,087
25644.0,5916.0,47,109
52196.0,8449.0,47,145
99252.0,18291.0,47,011
61910.0,13112.0,47,063
18771.0,4420.0,47,173
25367.0,5634.0,47,071
50315.0,8019.0,47,043
18708.0,4415.0,47,129
44572.0,8575.0,47,123
31725.0,6151.0,47,079
14252.0,2602.0,47,033
4835.0,1413.0,47,095
436216.0,70612.0,47,093
51384.0,10012.0,47,107
30888.0,4655.0,47,117
31331.0,7160.0,47,143
21668.0,6000.0,47,151
74060.0,12747.0,47,001
17598.0,4107.0,47,049
48398.0,9039.0,47,053
22323.0,5285.0,47,069
50179.0,6767.0,47,105
284849.0,35764.0,47,149
18867.0,3050.0,47,159
123817.0,11266.0,47,189
17528.0,3687.0,47,171
19563.0,3515.0,35,027
63868.0,14196.0,35,005
66655.0,10549.0,35,025
144699.0,22507.0,35,049
3628.0,614.0,35,059
8617.0,1340.0,56,031
28993.0,2378.0,56,033
11647.0,1385.0,56,003
7231.0,441.0,56,011
28340.0,2288.0,56,029
35551.0,9070.0,56,001
14887.0,2133.0,56,007
12775.0,2031.0,56,015
20658.0,3462.0,56,041
8174.0,1198.0,56,043
4674.0,524.0,56,017
39673.0,5585.0,56,013
9984.0,775.0,56,035
6819.0,1002.0,56,045
13847.0,2788.0,13,191
25808.0,3419.0,13,207
1890.0,593.0,13,265
33977.0,4509.0,13,029
50293.0,7029.0,13,039
12279.0,2343.0,13,079
39265.0,9618.0,13,069
28572.0,5556.0,13,123
86071.0,11365.0,13,297
18992.0,4219.0,13,091
228531.0,22891.0,13,057
27997.0,3334.0,13,177
29764.0,3058.0,13,227
16887.0,4429.0,13,075
965446.0,163674.0,13,121
190811.0,35737.0,15,001
69628.0,6703.0,15,007
23040.0,3563.0,16,031
5241.0,630.0,16,063
12967.0,1606.0,16,041
199459.0,37366.0,16,027
35341.0,7929.0,16,057
8964.0,1510.0,16,009
960.0,260.0,16,033
12245.0,1475.0,16,043
15708.0,2536.0,16,049
7621.0,937.0,16,077
260745.0,34400.0,17,119
15717.0,1618.0,17,131
194579.0,29600.0,17,167
28971.0,3219.0,17,157
51376.0,5617.0,17,141
45426.0,7203.0,17,177
14004.0,1960.0,17,193
6905.0,731.0,17,071
165599.0,23485.0,17,113
15487.0,2233.0,17,149
141583.0,21375.0,17,161
